group,time_months,n_at_risk_end_of_period,cumulative_events_through_time,cumulative_censored_through_time
Overall,0,4022,0,0
Overall,12,3951,47,24
Overall,24,3837,135,50
Overall,36,3720,235,67
Overall,60,2758,458,806
Overall,84,1302,572,2148
IIA,0,1303,0,0
IIA,12,1289,8,6
IIA,24,1266,23,14
IIA,36,1248,35,20
IIA,60,956,75,272
IIA,84,469,89,745
IIB,0,1130,0,0
IIB,12,1113,7,10
IIB,24,1088,24,18
IIB,36,1065,41,24
IIB,60,787,93,250
IIB,84,370,123,637
IIIA,0,1050,0,0
IIIA,12,1028,17,5
IIIA,24,999,39,12
IIIA,36,966,69,15
IIIA,60,703,134,213
IIIA,84,328,165,557
IIIB,0,67,0,0
IIIB,12,67,0,0
IIIB,24,64,3,0
IIIB,36,57,10,0
IIIB,60,44,14,9
IIIB,84,21,19,27
IIIC,0,472,0,0
IIIC,12,454,15,3
IIIC,24,420,46,6
IIIC,36,384,80,8
IIIC,60,268,142,62
IIIC,84,114,176,182
